Column,Unit,Description
m_ap_wfi_b,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_b,mag,Mean error on m_ap_wfi_b
flag_wfi_b,mag,Flag set to true for sources for which niether the wfi_b aperture nor total flux should not be used for SED fitting (see documentation).
f_wfi_b123,uJy,Total flux density in the B band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
ferr_wfi_b123,uJy,Uncertainty on f_wfi_b123.
f_ap_wfi_b123,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
ferr_ap_wfi_b123,uJy,Uncertainty on f_ap_wfi_b123.
m_wfi_b123,mag,Total AB magnitude in the B band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
merr_wfi_b123,mag,Mean error on m_wfi_b123.
m_ap_wfi_b123,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_b123,mag,Mean error on m_ap_wfi_b123
flag_wfi_b123,mag,Flag set to true for sources for which niether the wfi_b123 aperture nor total flux should not be used for SED fitting (see documentation).
f_wfi_i,uJy,Total flux density in the I band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
ferr_wfi_i,uJy,Uncertainty on f_wfi_i.
f_ap_wfi_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
ferr_ap_wfi_i,uJy,Uncertainty on f_ap_wfi_i.
m_wfi_i,mag,Total AB magnitude in the I band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
merr_wfi_i,mag,Mean error on m_wfi_i.
m_ap_wfi_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_i,mag,Mean error on m_ap_wfi_i
flag_wfi_i,mag,Flag set to true for sources for which niether the wfi_i aperture nor total flux should not be used for SED fitting (see documentation).
f_wfi_r,uJy,Total flux density in the R band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
ferr_wfi_r,uJy,Uncertainty on f_wfi_r.
f_ap_wfi_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
ferr_ap_wfi_r,uJy,Uncertainty on f_ap_wfi_r.
m_wfi_r,mag,Total AB magnitude in the R band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
merr_wfi_r,mag,Mean error on m_wfi_r.
m_ap_wfi_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_r,mag,Mean error on m_ap_wfi_r
flag_wfi_r,mag,Flag set to true for sources for which niether the wfi_r aperture nor total flux should not be used for SED fitting (see documentation).
f_wfi_u,uJy,Total flux density in the U band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
ferr_wfi_u,uJy,Uncertainty on f_wfi_u.
f_ap_wfi_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
ferr_ap_wfi_u,uJy,Uncertainty on f_ap_wfi_u.
m_wfi_u,mag,Total AB magnitude in the U band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
merr_wfi_u,mag,Mean error on m_wfi_u.
m_ap_wfi_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_u,mag,Mean error on m_ap_wfi_u
flag_wfi_u,mag,Flag set to true for sources for which niether the wfi_u aperture nor total flux should not be used for SED fitting (see documentation).
f_wfi_v,uJy,Total flux density in the V band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
ferr_wfi_v,uJy,Uncertainty on f_wfi_v.
f_ap_wfi_v,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
ferr_ap_wfi_v,uJy,Uncertainty on f_ap_wfi_v.
m_wfi_v,mag,Total AB magnitude in the V band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope.
merr_wfi_v,mag,Mean error on m_wfi_v.
m_ap_wfi_v,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of The Wide Field Imager (WFI) on The Max Planck Gesellschaft (MPG) telescope."
merr_ap_wfi_v,mag,Mean error on m_ap_wfi_v
flag_wfi_v,mag,Flag set to true for sources for which niether the wfi_v aperture nor total flux should not be used for SED fitting (see documentation).
f_wircam_h,uJy,Total flux density in the H band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
ferr_wircam_h,uJy,Uncertainty on f_wircam_h.
f_ap_wircam_h,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
ferr_ap_wircam_h,uJy,Uncertainty on f_ap_wircam_h.
m_wircam_h,mag,Total AB magnitude in the H band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
merr_wircam_h,mag,Mean error on m_wircam_h.
m_ap_wircam_h,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
merr_ap_wircam_h,mag,Mean error on m_ap_wircam_h
flag_wircam_h,mag,Flag set to true for sources for which niether the wircam_h aperture nor total flux should not be used for SED fitting (see documentation).
f_wircam_j,uJy,Total flux density in the J band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
ferr_wircam_j,uJy,Uncertainty on f_wircam_j.
f_ap_wircam_j,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
ferr_ap_wircam_j,uJy,Uncertainty on f_ap_wircam_j.
m_wircam_j,mag,Total AB magnitude in the J band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
merr_wircam_j,mag,Mean error on m_wircam_j.
m_ap_wircam_j,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
merr_ap_wircam_j,mag,Mean error on m_ap_wircam_j
flag_wircam_j,mag,Flag set to true for sources for which niether the wircam_j aperture nor total flux should not be used for SED fitting (see documentation).
f_wircam_ks,uJy,Total flux density in the K band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
ferr_wircam_ks,uJy,Uncertainty on f_wircam_ks.
f_ap_wircam_ks,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
ferr_ap_wircam_ks,uJy,Uncertainty on f_ap_wircam_ks.
m_wircam_ks,mag,Total AB magnitude in the K band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
merr_wircam_ks,mag,Mean error on m_wircam_ks.
m_ap_wircam_ks,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
merr_ap_wircam_ks,mag,Mean error on m_ap_wircam_ks
flag_wircam_ks,mag,Flag set to true for sources for which niether the wircam_ks aperture nor total flux should not be used for SED fitting (see documentation).
f_wircam_y,uJy,Total flux density in the I band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
ferr_wircam_y,uJy,Uncertainty on f_wircam_y.
f_ap_wircam_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
ferr_ap_wircam_y,uJy,Uncertainty on f_ap_wircam_y.
m_wircam_y,mag,Total AB magnitude in the I band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT).
merr_wircam_y,mag,Mean error on m_wircam_y.
m_ap_wircam_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Wide-field InfraRed Camera (WIRCam) on Canada France Hawaii Telescope (CFHT)."
merr_ap_wircam_y,mag,Mean error on m_ap_wircam_y
flag_wircam_y,mag,Flag set to true for sources for which niether the wircam_y aperture nor total flux should not be used for SED fitting (see documentation).
f_wircs_j,uJy,Total flux density in the J band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200).
ferr_wircs_j,uJy,Uncertainty on f_wircs_j.
f_ap_wircs_j,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200)."
ferr_ap_wircs_j,uJy,Uncertainty on f_ap_wircs_j.
m_wircs_j,mag,Total AB magnitude in the J band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200).
merr_wircs_j,mag,Mean error on m_wircs_j.
m_ap_wircs_j,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200)."
merr_ap_wircs_j,mag,Mean error on m_ap_wircs_j
flag_wircs_j,mag,Flag set to true for sources for which niether the wircs_j aperture nor total flux should not be used for SED fitting (see documentation).
f_wircs_k,uJy,Total flux density in the K band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200).
ferr_wircs_k,uJy,Uncertainty on f_wircs_k.
f_ap_wircs_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200)."
ferr_ap_wircs_k,uJy,Uncertainty on f_ap_wircs_k.
m_wircs_k,mag,Total AB magnitude in the K band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200).
merr_wircs_k,mag,Mean error on m_wircs_k.
m_ap_wircs_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of Wide Infrared Camera (WIRC) on Palomar 200-inch Hale Telescope (P200)."
merr_ap_wircs_k,mag,Mean error on m_ap_wircs_k
flag_wircs_k,mag,Flag set to true for sources for which niether the wircs_k aperture nor total flux should not be used for SED fitting (see documentation).
cigale_sfr,Msun / yr,Star Formation Rate estimated by SED fitting with CIGALE.
cigale_sfr_err,Msun / yr,Uncertainty on CIGALE_SFR.
cigale_mstar,Msun,Stellar Mass estimated by SED fitting with CIGALE.
cigale_mstar_err,Msun,Uncertainty on CIGALE_Mstar
cigale_dustlumin,W,Dust luminosity estimated by SED fitting with CIGALE using both optical and infra-red information.
cigale_dustlumin_err,W,Uncertainty on CIGALE_DustLumin.
cigale_dustlumin_ironly,W,Dust luminosity estimated by SED fitting with CIGALE using only the infra-red information.
cigale_dustlumin_ironly_err,W,Uncertainty on CIGALE_DustLumin_IRonly
flag_cigale,,"Flag qualifying the global fitting with CIGALE: 1 for a good fit, 0 for a bad fit, -1 if the source was not fitted."
flag_cigale_opt,,"Flag qualifying the fitting of the optical part of the spectrum during the global fit with CIGALE: 1 for a good fit, 0 for a bad fit, -1 if the source was not fitted."
flag_cigale_ir,,"Flag qualifying the fitting of the infra-red part of the spectrum during the global fit with CIGALE: 1 for a good fit, 0 for a bad fit, -1 if the source was not fitted."
flag_cigale_ironly,,"Flag qualifying the fitting using only infra-red data with CIGALE: 1 for a good fit, 0 for a bad fit, -1 if the source was not fitted."
flag_gaia,,Flag indicating the increasing probability of the source being a Gaia object (see note).
flag_cleaned,,Boolean flag denoting that the source was associated to really near object that were removed during the cleaning procedure.
flag_merged,,Boolean flag denoting a possible mis-association during the cross-matching of the various catalogues.
flag_optnir_obs,,Flag indicating in which wavelength regimes the source was observed (see note).
flag_optnir_det,,Flag indicating in which wavelength regimes the source was detected (see note).
